Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
21,Kepulauan Riau,Gula Pasir Lokal/Curah,2021,Januari,"Rp12,375"
31,DKI Jakarta,Gula Pasir Lokal/Curah,2021,Januari,"Rp14,458"
32,Jawa Barat,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,172"
33,Jawa Tengah,Gula Pasir Lokal/Curah,2021,Januari,"Rp12,662"
34,DI Yogyakarta,Gula Pasir Lokal/Curah,2021,Januari,"Rp12,640"
35,Jawa Timur,Gula Pasir Lokal/Curah,2021,Januari,"Rp12,370"
36,Banten,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,236"
51,Bali,Gula Pasir Lokal/Curah,2021,Januari,"Rp12,819"
52,Nusa Tenggara Barat,Gula Pasir Lokal/Curah,2021,Januari,"Rp14,617"
53,Nusa Tenggara Timur,Gula Pasir Lokal/Curah,2021,Januari,"Rp15,330"
61,Kalimantan Barat,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,208"
62,Kalimantan Tengah,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,381"
63,Kalimantan Selatan,Gula Pasir Lokal/Curah,2021,Januari,"Rp12,834"
64,Kalimantan Timur,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,086"
65,Kalimantan Utara,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,500"
71,Sulawesi Utara,Gula Pasir Lokal/Curah,2021,Januari,"Rp14,781"
72,Sulawesi Tengah,Gula Pasir Lokal/Curah,2021,Januari,"Rp14,669"
